pdb,res,year,neglog_aff,affinity,ref,ligand,measurement
3g4m,2.4,2009,5.356547324,4.4uM,3fo4.pdf,2BP,Kd
3got,1.95,2009,5.397940009,4uM,3fo4.pdf,A2F,Kd
3jq4,3.52,2010,5,10uM,3jq4.pdf,LC2,IC50
3mum,2.9,2010,9.677780705,0.21nM,3mum.pdf,C2E,Kd
3mxh,2.3,2010,10.95860731,11pM,3mum.pdf,C2E,Kd
3mur,3,2010,7.823908741,15nM,3mum.pdf,C2E,Kd
3la5,1.7,2010,6,1uM,3la5.pdf,5AZ,Kd
2ku0,NMR,2010,5.585026652,2.6uM,2ktz.pdf,ISI,Kd
3owz,2.95,2010,5.455931956,3.5uM,3owz.pdf,GLY,Kd
3npn,2.79,2010,7.494850022,32nM,3npn.pdf,SAH,Kd
2kx8,NMR,2010,5.199970641,6.31uM,2kx8.pdf,ARG,Kd
2ktz,NMR,2010,5.045757491,9uM,2ktz.pdf,ISH,Kd
2ygh,2.6,2011,6.508638306,0.31uM,2ydh.pdf,SAM,Kd
2ydh,2.9,2011,5.709965389,1.95uM,2ydh.pdf,SAM,Kd
2xo1,1.6,2011,4,100uM,2xnw.pdf,N6M,Kd
2xnz,1.59,2011,3.958607315,110uM,2xnw.pdf,3AW,Kd
3sd3,1.95,2011,4.744727495,18uM,3sd1.pdf,FOZ,Kd
3q50,2.75,2011,8.688246139,2.05nM,3q50.pdf,PRF,Kd
3q3z,2.51,2011,8.657577319,2.2nM,3q3z.pdf,C2E,Kd
2l94,NMR,2011,3.443697499,360uM,2l94.pdf,L94,Kd
2xnw,1.5,2011,3.431798276,370uM,2xnw.pdf,ZZR,Kd
3slm,2.7,2011,3.42136079,379uM,3ski.pdf,DGP,Kd
2xo0,1.7,2011,4.096910013,80uM,2xnw.pdf,ZZS,Kd
3s4p,2.56,2011,6,1.0uM,3s4p.pdf,JS6,Ki
4aob,2.95,2012,6.30980392,0.49uM,4aob.pdf,SAM,Kd
4fe5,1.32,2012,6.135488919,0.732uM,1u8d.pdf,HPA,Kd
2loa,NMR,2012,5.657577319,2.2uM,2loa.pdf,C4Q,Kd
4erj,3,2012,2.508638306,3100uM,4erj.pdf,ACA,Kd
2lwk,NMR,2012,4.296708622,50.5uM,2lwk.pdf,0EC,Kd
4erl,3,2012,3.244125144,570uM,4erj.pdf,LYS,Kd
2mb3,NMR,2013,5.13076828,7.4uM,2mb3.pdf,L2H,IC50
2rsk,NMR,2013,5,10uM,2rsk.pdf,12-mer,Kd
4jf2,2.28,2013,7.747146969,17.9nM,4jf2.pdf,PRF,Kd
4kqy,3.02,2013,7.721246399,19nM,3npb.pdf,SAM,Kd
4oqu,3.2,2014,6.387216143,0.41uM,4l81.pdf,SAM,Kd
4lvz,1.77,2014,6.301029996,0.5uM,4lvv.pdf,6AP,Kd
4nyg,3.05,2014,5.823908741,1.5uM,4nya.pdf,VIB,Kd
4nyb,3.1,2014,3.987162775,103uM,4nya.pdf,2QC,Kd
4lvy,2,2014,3.958607315,110uM,4lvv.pdf,LYA,Kd
4lvx,1.9,2014,4.744727495,18uM,4lvv.pdf,H4B,Kd
4qln,2.65,2014,5.537602002,2.9uM,4qlm.pdf,2BA,Kd
4lx5,2.13,2014,6.671620397,213nM,4lx5.pdf,29G,Kd
4nyc,3.15,2014,3.552841969,280uM,4nya.pdf,SVN,Kd
4qk8,3.05,2014,6.522878745,300nM,4qk8.pdf,2BA,Kd
4qk9,3.05,2014,6.522878745,300nM,4qk8.pdf,2BA,Kd
4nya,2.65,2014,4.30980392,49uM,4nya.pdf,2QB,Kd
4w90,3.12,2014,7.274905479,53.1nM,4w90.pdf,2BA,Kd
4ts0,2.8,2014,6.27572413,530nM,4ts0.pdf,38E,Kd
4ts2,2.88,2014,6.27572413,530nM,4ts0.pdf,38E,Kd
4qlm,2.72,2014,7.180456064,66nM,4qlm.pdf,2BA,Kd
4lvw,1.77,2014,4.180456064,66uM,4lvv.pdf,7DG,Kd
4nyd,2.9,2014,3.173925197,670uM,4nya.pdf,HPA,Kd
4l81,2.95,2014,5.13667714,7.3uM,4l81.pdf,SAM,Kd
4lw0,1.89,2014,5.096910013,8uM,4lvv.pdf,ADE,Kd
4lvv,2.1,2014,5.017728767,9.6uM,4lvv.pdf,FFO,Kd
4lx6,2.15,2014,7.022276395,95nM,4lx5.pdf,29H,Kd
2mg8,NMR,2014,6.015472687,965nM,2mg8.pdf,XR2,Kd
4yb0,2.12,2015,6.031517051,0.93uM,4yaz.pdf,C2E,Kd
4xwf,1.8,2015,5.966576245,1.08uM,4xw7.pdf,AMZ,Kd
4znp,2.94,2015,5.327902142,4.7uM,4znp.pdf,AMZ,Kd
5c7u,3.05,2015,7.37675071,42nM,5c7u.pdf,HPA,Kd
5btp,2.82,2015,6.312471039,487nM,5btp.pdf,AMZ,Kd
5c7w,3.22,2015,7.318758763,48nM,5c7u.pdf,HPA,Kd
2mxs,NMR,2015,5.292429824,5.1uM,2mxs.pdf,PAR,Kd
4rzd,2.75,2015,8.187086643,6.5nM,4rzd.pdf,PRF,Kd
4yaz,2,2015,7.175874166,66.7nM,4yaz.pdf,4BW,Kd
2n0j,NMR,2016,6.48148606,0.33uM,2n0j.pdf,RIO,Kd
5cdb,1.7,2016,5.958607315,1.1uM,5cdb.pdf,50B,Kd
5lwj,NMR,2016,5.543178652,2863nM,5lwj.pdf,GTP,Kd
5uzz,NMR,2017,6.698970004,200nM,5uzz.pdf,14-mer,Kd
5kpy,2,2017,5.408935393,3.9uM,5kpy.pdf,4PQ,Kd
5uee,1.9,2017,3.698970004,0.2mM,5ued.pdf,GP3,Kd
5v3f,1.7,2017,8.522878745,3nM,5v3f.pdf,74G,Kd
5z80,NMR,2018,5.913640169,1.22uM,5z80.pdf,9F0,IC50
6d2u,NMR,2018,9.744727495,,6d2u.pdf,14-mer,Kd<0.18nM
6dmc,2.2,2018,6.292429824,0.51uM,6dlq.pdf,G4P,Kd
6c65,2.8,2018,9.045757491,0.9nM,6c63.pdf,EKJ,Kd
6c63,2.9,2018,8.958607315,1.1nM,6c63.pdf,EKJ,Kd
6c64,3,2018,8.853871964,1.4nM,6c63.pdf,EKM,Kd
6ck4,3.1,2018,5.744727495,1.8uM,6ck4.pdf,G4P,Kd
5w77,NMR,2018,4.782516056,16.5uM,5w77.pdf,9WP,Kd
6ck5,2.49,2018,5.698970004,2.0uM,6ck4.pdf,PRP,Kd
6fz0,2.5,2018,5.359518563,4.37uM,6fz0.pdf,SAM,Kd
6dlt,2.9,2018,4.227678293,59.2uM,6dlq.pdf,PRP,Kd
6e84,2.9,2019,5.853871964,1.4uM,6e80.pdf,J0D,Kd
6j2w,NMR,2019,5.853871964,1.4uM,6j2w.pdf,B2U,Kd
6e8t,2.9,2019,8.769551079,1.7nM,6e8s.pdf,HZG,Kd
6qn3,2.3,2019,3.721246399,190uM,6qn3.pdf,GLN,Kd
6e8s,2.35,2019,8.638272164,2.3nM,6e8s.pdf,EKJ,Kd
6hmo,NMR,2019,4.552841969,28uM,6hmo.pdf,GDZ,Kd
6hag,NMR,2019,5.431798276,3.7uM,6hag.pdf,SAH,Kd
6p2h,2.8,2019,7.468521083,34nM,6p2h.pdf,GNG,Kd
6jj0,NMR,2019,7.443697499,36nM,6jj0.pdf,BO6,Kd
6e81,2.72,2019,5.522878745,3uM,6e80.pdf,TFX,Kd
6e8u,1.55,2019,8.337242168,4.6nM,6e8s.pdf,HZD,Kd
6hbt,1.66,2019,5.327902142,4.7uM,6hbt.pdf,FXQ,Kd
6sx3,NMR,2019,5.15490196,7uM,6sx3.pdf,LWQ,Kd
